case,t_hours,T,sigma,f1
A fast ramp,2.0000,303.1500,-2.106566e+05,2.45346751
A fast ramp,4.0000,303.1500,-1.699264e+05,2.70620187
A fast ramp,6.0000,303.1500,-1.510244e+05,2.80625969
A fast ramp,8.0000,303.1500,-1.376964e+05,2.88323452
A fast ramp,10.0000,303.1500,-1.280227e+05,2.93297599
A fast ramp,12.0000,303.1500,-1.208687e+05,2.98044528
A fast ramp,14.0000,303.1500,-1.154640e+05,3.00259447
A fast ramp,16.0000,303.1500,-1.112815e+05,3.02491299
A fast ramp,18.0000,303.1500,-1.079593e+05,3.04663967
A fast ramp,20.0000,303.1500,-1.052483e+05,3.05762205
A fast ramp,22.0000,303.1500,-1.029763e+05,3.06831955
A fast ramp,24.0000,303.1500,-1.010236e+05,3.07860928
A fast ramp,26.0000,303.1500,-9.930703e+04,3.08889796
A fast ramp,28.0000,303.1500,-9.776806e+04,3.09943420
A fast ramp,30.0000,303.1500,-9.636558e+04,3.09943420
A fast ramp,32.0000,303.1500,-9.507036e+04,3.10971540
A fast ramp,34.0000,303.1500,-9.386150e+04,3.12008201
A fast ramp,36.0000,303.1500,-9.272388e+04,3.12008201
A fast ramp,38.0000,303.1500,-9.164644e+04,3.13022393
A fast ramp,40.0000,303.1500,-9.062099e+04,3.13022393
A fast ramp,42.0000,303.1500,-8.964134e+04,3.14042519
A fast ramp,44.0000,303.1500,-8.870275e+04,3.14042519
A fast ramp,46.0000,303.1500,-8.780150e+04,3.15063107
A fast ramp,48.0000,303.1500,-8.693462e+04,3.15063107
A fast ramp,50.0000,303.1500,-8.609967e+04,3.15063107
A fast ramp,52.0000,303.1500,-8.529460e+04,3.16077433
A fast ramp,54.0000,303.1500,-8.451767e+04,3.16077433
A fast ramp,56.0000,303.1500,-8.376737e+04,3.17077885
A fast ramp,58.0000,303.1500,-8.304233e+04,3.17077885
A fast ramp,60.0000,303.1500,-8.234136e+04,3.17077885
A fast ramp,62.0000,303.1500,-8.166333e+04,3.18073330
A fast ramp,64.0000,303.1500,-8.100724e+04,3.18073330
A fast ramp,66.0000,303.1500,-8.037214e+04,3.18073330
A fast ramp,68.0000,303.1500,-7.975714e+04,3.19066681
A fast ramp,70.0000,303.1500,-7.916142e+04,3.19066681
A fast ramp,72.0000,303.1500,-7.858419e+04,3.19066681
A fast ramp,74.0000,303.1500,-7.802472e+04,3.19066681
A fast ramp,76.0000,303.1500,-7.748231e+04,3.20056245
A fast ramp,78.0000,303.1500,-7.695629e+04,3.20056245
A fast ramp,80.0000,303.1500,-7.644603e+04,3.20056245
A fast ramp,82.0000,303.1500,-7.595092e+04,3.20056245
A fast ramp,84.0000,303.1500,-7.547039e+04,3.21048726
A fast ramp,86.0000,303.1500,-7.500388e+04,3.21048726
A fast ramp,88.0000,303.1500,-7.455088e+04,3.21048726
A fast ramp,90.0000,303.1500,-7.411089e+04,3.21048726
A fast ramp,92.0000,303.1500,-7.368341e+04,3.22032330
A fast ramp,94.0000,303.1500,-7.326800e+04,3.22032330
A fast ramp,96.0000,303.1500,-7.286422e+04,3.22032330
A fast ramp,98.0000,303.1500,-7.247164e+04,3.22032330
A fast ramp,100.0000,303.1500,-7.208986e+04,3.22032330
A fast ramp,102.0000,303.1500,-7.171849e+04,3.23012526
A fast ramp,104.0000,303.1500,-7.135717e+04,3.23012526
A fast ramp,106.0000,303.1500,-7.100554e+04,3.23012526
A fast ramp,108.0000,303.1500,-7.066327e+04,3.23012526
A fast ramp,110.0000,303.1500,-7.033001e+04,3.23012526
A fast ramp,112.0000,303.1500,-7.000547e+04,3.23012526
A fast ramp,114.0000,303.1500,-6.968934e+04,3.23984950
A fast ramp,116.0000,303.1500,-6.938134e+04,3.23984950
A fast ramp,118.0000,303.1500,-6.908118e+04,3.23984950
A fast ramp,120.0000,303.1500,-6.878861e+04,3.23984950
